Comment,Designator,Footprint,LCSC Part #
100nF,"C2,C3,C7,C10,C11,C13,C14,C15",C_0805_2012Metric,C1711
10uF,"C4,C5,C8,C9,C12",C_0805_2012Metric,C15850
22uF,C6,C_0805_2012Metric,C129302
2.2pF,C1,C_0805_2012Metric,
100R,"R5,R6,R7,R8",R_0805_2012Metric,C17408
150R,R1,R_0805_2012Metric,C17471
180R,R2,R_0805_2012Metric,C25270
200R,R3,R_0805_2012Metric,C17540
220R,R4,R_0805_2012Metric,C17557
1k,R16,R_0805_2012Metric,C100046
5.1k,"R14,R15",R_0805_2012Metric,C102025
10k,"R10,R11,R12,R13",R_0805_2012Metric,C115309
100k,R9,R_0805_2012Metric,C149504
2N7002,"Q1,Q2,Q3,Q4",SOT-23,C16338
ESP32-WROOM-32E,U3,RF_Module:ESP32-WROOM-32E,C19949066
OPA380 (TIA),U1,VSSOP-8,C2057355
ADS1115 (16-bit ADC),U2,MSOP-10_3x3mm,C2868291
CH340C (USB-UART),U4,SOIC-16,C84681
AMS1117-3.3 (LDO),U5,SOT-223,C18906017
ICL7660 (-3V3 charge pump),U6,SOIC-8,C7881
USB-C receptacle,J3,TYPE-C-31-M-12,C165948
Tactile switch 6mm,"SW1,SW2",SW_SMD_6mm,C111608
Power LED (red),D6,LED_0805,C2295
DO NOT POPULATE - NIR LED 910nm (optical head),D1,LED_THT_5mm,
DO NOT POPULATE - NIR LED 1085nm (optical head),D2,LED_THT_5mm,
DO NOT POPULATE - NIR LED 1300nm (optical head),D3,LED_THT_5mm,
DO NOT POPULATE - NIR LED 1600nm (optical head),D4,LED_THT_5mm,
DO NOT POPULATE - Ge photodiode FDG05 (optical head),D5,TO-5,
