Designator,Mid X,Mid Y,Layer,Rotation
C1,136.0000mm,-84.0000mm,Top,0
C2,148.0000mm,-84.0000mm,Top,0
C3,160.0000mm,-84.0000mm,Top,0
C4,172.0000mm,-84.0000mm,Top,0
C5,184.0000mm,-84.0000mm,Top,0
C6,100.0000mm,-95.0000mm,Top,0
C7,112.0000mm,-95.0000mm,Top,0
C8,196.0000mm,-84.0000mm,Top,0
C9,206.0000mm,-84.0000mm,Top,0
C10,184.0000mm,-95.0000mm,Top,0
C11,196.0000mm,-95.0000mm,Top,0
C12,100.0000mm,-106.0000mm,Top,0
C13,112.0000mm,-106.0000mm,Top,0
C14,206.0000mm,-95.0000mm,Top,0
C15,206.0000mm,-106.0000mm,Top,0
D1,124.0000mm,-95.0000mm,Top,0
D2,136.0000mm,-95.0000mm,Top,0
D3,164.0000mm,-95.0000mm,Top,0
D4,174.0000mm,-95.0000mm,Top,0
D5,199.0000mm,-58.0000mm,Top,0
D6,184.0000mm,-106.0000mm,Top,0
J3,101.0000mm,-50.0000mm,Top,0
Q1,181.0000mm,-49.0000mm,Top,0
Q2,100.0000mm,-62.0000mm,Top,0
Q3,112.0000mm,-62.0000mm,Top,0
Q4,124.0000mm,-62.0000mm,Top,0
R1,136.0000mm,-62.0000mm,Top,0
R2,148.0000mm,-62.0000mm,Top,0
R3,160.0000mm,-62.0000mm,Top,0
R4,172.0000mm,-62.0000mm,Top,0
R5,184.0000mm,-62.0000mm,Top,0
R6,100.0000mm,-73.0000mm,Top,0
R7,112.0000mm,-73.0000mm,Top,0
R8,124.0000mm,-73.0000mm,Top,0
R9,136.0000mm,-73.0000mm,Top,0
R10,148.0000mm,-73.0000mm,Top,0
R11,160.0000mm,-73.0000mm,Top,0
R12,172.0000mm,-73.0000mm,Top,0
R13,184.0000mm,-73.0000mm,Top,0
R14,100.0000mm,-84.0000mm,Top,0
R15,112.0000mm,-84.0000mm,Top,0
R16,124.0000mm,-84.0000mm,Top,0
SW1,196.0000mm,-106.0000mm,Top,0
SW2,196.0000mm,-73.0000mm,Top,0
U1,152.0000mm,-49.0000mm,Top,0
U2,167.0000mm,-49.0000mm,Top,0
U3,150.0000mm,-107.0000mm,Top,180
U4,113.0000mm,-50.0000mm,Top,0
U5,127.0000mm,-49.0000mm,Top,0
U6,140.0000mm,-49.0000mm,Top,0
