Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2p","C_0805_2012Metric",136.000000,-84.000000,0.000000,top
"C2","100n","C_0805_2012Metric",148.000000,-84.000000,0.000000,top
"C3","100n","C_0805_2012Metric",160.000000,-84.000000,0.000000,top
"C4","10u","C_0805_2012Metric",172.000000,-84.000000,0.000000,top
"C5","10u","C_0805_2012Metric",184.000000,-84.000000,0.000000,top
"C6","22u","C_0805_2012Metric",100.000000,-95.000000,0.000000,top
"C7","100n","C_0805_2012Metric",112.000000,-95.000000,0.000000,top
"C8","10u","C_0805_2012Metric",196.000000,-84.000000,0.000000,top
"C9","10u","C_0805_2012Metric",206.000000,-84.000000,0.000000,top
"C10","100n","C_0805_2012Metric",184.000000,-95.000000,0.000000,top
"C11","100n","C_0805_2012Metric",196.000000,-95.000000,0.000000,top
"C12","10u","C_0805_2012Metric",100.000000,-106.000000,0.000000,top
"C13","100n","C_0805_2012Metric",112.000000,-106.000000,0.000000,top
"C14","100n","C_0805_2012Metric",206.000000,-95.000000,0.000000,top
"C15","100n","C_0805_2012Metric",206.000000,-106.000000,0.000000,top
"D1","LED910L","LED_D5.0mm",124.000000,-95.000000,0.000000,top
"D2","LED1085L","LED_D5.0mm",136.000000,-95.000000,0.000000,top
"D3","LED1300L","LED_D5.0mm",164.000000,-95.000000,0.000000,top
"D4","LED1600L","LED_D5.0mm",174.000000,-95.000000,0.000000,top
"D5","FDG05","TO-5-2_Window",199.000000,-58.000000,0.000000,top
"D6","PWR","LED_0805_2012Metric",184.000000,-106.000000,0.000000,top
"J3","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",101.000000,-50.000000,0.000000,top
"Q1","2N7002","SOT-23",181.000000,-49.000000,0.000000,top
"Q2","2N7002","SOT-23",100.000000,-62.000000,0.000000,top
"Q3","2N7002","SOT-23",112.000000,-62.000000,0.000000,top
"Q4","2N7002","SOT-23",124.000000,-62.000000,0.000000,top
"R1","150","R_0805_2012Metric",136.000000,-62.000000,0.000000,top
"R2","180","R_0805_2012Metric",148.000000,-62.000000,0.000000,top
"R3","200","R_0805_2012Metric",160.000000,-62.000000,0.000000,top
"R4","220","R_0805_2012Metric",172.000000,-62.000000,0.000000,top
"R5","100","R_0805_2012Metric",184.000000,-62.000000,0.000000,top
"R6","100","R_0805_2012Metric",100.000000,-73.000000,0.000000,top
"R7","100","R_0805_2012Metric",112.000000,-73.000000,0.000000,top
"R8","100","R_0805_2012Metric",124.000000,-73.000000,0.000000,top
"R9","100k","R_0805_2012Metric",136.000000,-73.000000,0.000000,top
"R10","10k","R_0805_2012Metric",148.000000,-73.000000,0.000000,top
"R11","10k","R_0805_2012Metric",160.000000,-73.000000,0.000000,top
"R12","10k","R_0805_2012Metric",172.000000,-73.000000,0.000000,top
"R13","10k","R_0805_2012Metric",184.000000,-73.000000,0.000000,top
"R14","5.1k","R_0805_2012Metric",100.000000,-84.000000,0.000000,top
"R15","5.1k","R_0805_2012Metric",112.000000,-84.000000,0.000000,top
"R16","1k","R_0805_2012Metric",124.000000,-84.000000,0.000000,top
"SW1","RESET","SW_SPST_PTS645Sx43SMTR92",196.000000,-106.000000,0.000000,top
"SW2","BOOT","SW_SPST_PTS645Sx43SMTR92",196.000000,-73.000000,0.000000,top
"U1","OPA380AID","VSSOP-8_3x3mm_P0.65mm",152.000000,-49.000000,0.000000,top
"U2","ADS1115_Breakout","MSOP-10_3x3mm_P0.5mm",167.000000,-49.000000,0.000000,top
"U3","ESP32-WROOM-32E","ESP32-WROOM-32E",150.000000,-107.000000,180.000000,top
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",113.000000,-50.000000,0.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",127.000000,-49.000000,0.000000,top
"U6","ICL7660","SOIC-8_3.9x4.9mm_P1.27mm",140.000000,-49.000000,0.000000,top
